,translated,label,annotation
750,"after my modules, my brother's and my cousin's modules.🤦🏻‍♀️","[[47, 54, 'neu']]","[['modules', 'neu']]"
751,they're right biking in BGC once I'm here right work nf modules awert,"[[56, 63, 'neu']]","[['modules', 'neu']]"
752,"I'm hardworking, but the modules are really boring.","[[25, 32, 'neg']]","[['modules', 'neg']]"
753,I just want to sleep but don't want modules ???????,"[[36, 43, 'neu']]","[['modules', 'neu']]"
754,@bitiesonyeondan MAGSAGOT KA NALANG MODULES KAPATID😩,"[[36, 43, 'neu']]","[['modules', 'neu']]"
755,why is it so hard to make modules at that time huhu,"[[26, 33, 'neg']]","[['modules', 'neg']]"
756,"Speaking of which, I will actually answer the modules","[[46, 53, 'neu']]","[['modules', 'neu']]"
757,still awake any time but still not finished modules ayyy devil festival,"[[44, 51, 'neu']]","[['modules', 'neu']]"
758,"it's really confusing when I fiddle with modules, they get out of order as well as other modules and then I get confused. ⁇","[[41, 48, 'neg'], [89, 96, 'neg']]","[['modules', 'neg'], ['modules', 'neg']]"
759,"need nya kasi yung pics ng SOC for audit this coming friday, since i have a copy sinend ko sa kanya and pota pics pala ng modules ko yun hayoooop hahahhahahahahhaha same kasi ... may pictures and stuffs kasi LOLs","[[122, 129, 'neu']]","[['modules', 'neu']]"
760,"Nawindang naman ako noong na-browse ko mga modules ,,, bat sabay-sabay kayo mga beh nakaka-stress bigla.","[[43, 50, 'neg']]","[['modules', 'neg']]"
761,do you want to help with my modules https://t.co/jVU2ZK1uXe,"[[28, 35, 'neu']]","[['modules', 'neu']]"
762,Now it's just ulet slept in the afternoon and without thinking of modules hahaha,"[[66, 73, 'neu']]","[['modules', 'neu']]"
763,What can a good book read other than the modules of my cousins ​​hahaha.,"[[41, 48, 'neu']]","[['modules', 'neu']]"
764,@Yoongi_theCat OMG TRUE POTA PADAMI NG PADAMI TIGYAWAT KO KASABAY NG PAGDAMI NG MODULES KO TAKTE,"[[80, 87, 'neu']]","[['modules', 'neu']]"
765,tas nyeta yung modules naman ng kapatid ko pinaintindi sakin ng nanay ko😀🙂😀🙂,"[[15, 22, 'neu']]","[['modules', 'neu']]"
766,"I said to myself, I won't answer modules first so that I don't mastress a little HAHAHAHAHHA","[[33, 40, 'neu']]","[['modules', 'neu']]"
767,Modules just wait huh? Pending more e,"[[0, 7, 'neu']]","[['modules', 'neu']]"
768,FOTA I HAVE MANY MODULES TO DO LAZINESS I WILL BREAK WITH YOU FIRST WE WILL JUST COMEBACK WHEN I FINISH MY MODULES😔,"[[17, 24, 'neg']]","[['modules', 'neg']]"
769,"Naiyak baby lev ko dahil ata sa modules, whyyy🥺 tinatry ko naman tulungan pag ako naasar ako na magsasagot lahat","[[32, 39, 'neg']]","[['modules', 'neg']]"
770,Anona pup yung modules namen hahhaahahhahaahahaha,"[[15, 22, 'neu']]","[['modules', 'neu']]"
771,GOOD MORNING LADIES AND GIRLS DON'T FORGET TO EAT AND MAKE MODULES HSHSHSHSHSH ALWAYS BE CAREFUL BUT IF YOU WANT ME TO JUST TAKE CARE OF YOU CHAROT KAY YOONGI I'LL JUST CRY,"[[59, 67, 'neu']]","[['modules', 'neu']]"
772,"It's just modules that make me lose weight fast, I hope I haven't done it for a long time.","[[10, 17, 'neu']]","[['modules', 'neu']]"
773,"who is a fool to write an essay in modules that he has already done the essay before, alas 1 hour pre","[[35, 42, 'neu']]","[['modules', 'neu']]"
774,I do tom modules hikhok enjoyed watching earlier eh,"[[9, 16, 'neu']]","[['modules', 'neu']]"
775,Taenaa at 1:30 am I answered paden modules,"[[35, 42, 'neu']]","[['modules', 'neu']]"
776,"@kimbliss_ CUTE STILL CUTE EVEN THOUGH MANY MODULES CHAROT YOU, MUSTA KABABAYAN?","[[44, 51, 'neu']]","[['modules', 'neu']]"
777,@keeshajung SAME KABABAYAN MODULES DIN PROBLEMA KO HUHU,"[[27, 34, 'neg']]","[['modules', 'neg']]"
778,"@yoongiDagustmin YOU CAN ALSO YANNN, GOODLUCK SATIN ON THE MODULES AHUHU","[[59, 66, 'neu']]","[['modules', 'neu']]"
779,@yoongiDagustmin AYON BOANG NA NGA MAS BINOANG PA NG MGA MODULES,"[[57, 64, 'neu']]","[['modules', 'neu']]"
780,andaming sinend na modules huehue kaso antok nako talaga: ((,"[[19, 26, 'neu']]","[['modules', 'neu']]"
781,@mamshihobi POTA PASALAMAT YUNG BANGTAN MAS INUUNA KO SILA KAYSA SA MODULES KO SHUTA IBA TALAGA KAPAG MAHAL MO,"[[68, 75, 'neu']]","[['modules', 'neu']]"
782,"I cried over my modules, nothing happened, there was still no answer.","[[16, 23, 'neg']]","[['modules', 'neg']]"
783,I NEED MOTIVATION TO ANSWER MY MODULES TAYNEW & amp; KRISTSINGTO MAGPARAMDAM KAYO,"[[31, 38, 'neu']]","[['modules', 'neu']]"
784,@cookything HELLO MABUTI NAMAN HO NABOBOANG NA SA MODULES HSHSHSHSH KAYO HO KAMUSTA?,"[[50, 57, 'neg']]","[['modules', 'neg']]"
785,"if ever I learned something from my 17 month long relationship that love is a language and you don't expect that you will be the same or that their lovelanguage should match your ""ideal"" love language ,, don't be such an ass and work na kayo ng mga modules niyo !!!","[[249, 256, 'neu']]","[['modules', 'neu']]"
786,It's funny that dom suddenly calls before the exam and when he's stressed about the modules for raw encouragement and motivation hehe skl❤️,"[[84, 91, 'neu']]","[['modules', 'neu']]"
787,@ughitsnica or gawa muna modules tas aral then later ligo? HHAHHAA,"[[25, 32, 'neu']]","[['modules', 'neu']]"
788,@ughitsnica kung maliligo ba muna tas gawa ng modules tas mag aral sa tfn anubaa,"[[46, 53, 'neu']]","[['modules', 'neu']]"
789,@bwahahao ONE DOT DI NAKO GAGAWA MODULES CHAROT AYOKO MATALAKAN,"[[33, 40, 'neu']]","[['modules', 'neu']]"
790,@bwahahao BOANG NAKO SA MODULES FOTA HAHAHSHSHHAHAHA,"[[24, 31, 'neu']]","[['modules', 'neu']]"
791,"please be careful, just be strong in your online classes and modules! i love you all!","[[49, 56, 'pos'], [61, 68, 'pos']]","[['classes', 'pos'], ['modules', 'pos']]"
792,"I answered my nephew's ESP, SCIENCE, ENGLISH AND FILIPINO modules and assignments. But MATH? Dad will take care of it tomorrow, my head suddenly hurts HAHAHAHAHAHAHAHA","[[58, 65, 'neu'], [70, 81, 'neu']]","[['modules', 'neu'], ['assignments', 'neu']]"
793,"As what I know from teachers, some of the modules are made by themselves. But it’s definitely not a reason to shame them, since their situation is pitiful now. Maybe we should understand them first. They also get tired like all of us.","[[42, 49, 'neu']]","[['modules', 'neu']]"
794,daily sunday to daily modules real quick,"[[22, 29, 'neu']]","[['modules', 'neu']]"
795,@_allysonpastu Happens to me at times but not today ahhhh I still have to finish 5 modules,"[[83, 90, 'neu']]","[['modules', 'neu']]"
796,last two pages I'm done with all the modules ahhh❤,"[[37, 44, 'neu']]","[['modules', 'neu']]"
797,I have a headache with more modules from my nephew 😴 https://t.co/0tFIjrIXLc,"[[28, 35, 'neg']]","[['modules', 'neg']]"
798,"Just stare at my soul while doing the modules because they said I can't see them if I don't do it, I've already seen you even if I'm not studying 🙄🙏😂 https://t.co/7W4lejwAvq","[[38, 45, 'neu']]","[['modules', 'neu']]"
799,"TBH, my cousin (Grade 4) is not learning anything in his modules. I just have to answer right away because each subject has a time limit. Maygad","[[57, 64, 'neg']]","[['modules', 'neg']]"
800,Just DL modules once asleep once awake do everything,"[[8, 15, 'neu']]","[['modules', 'neu']]"
801,"so I don't want to enter the modules and attendance, the lessons need to be gone","[[29, 36, 'neu'], [41, 51, 'neu']]","[['modules', 'neu'], ['attendance', 'neu']]"
802,@Teacher_Lina_ and the reams of bond papers for the modules we were able to buy from the donations. 🥰 https://t.co/bMDM7PLKea,"[[52, 59, 'neu']]","[['modules', 'neu']]"
803,GAGA HAS A PRELIMINARY EXAM THAT WE HAVE AT THE UNIVERSITY. BUT BAT THE SPEED SEEMS LIKE I HAVE NOT LEARNED ANYTHING EXCEPT SOCPSY BECAUSE I AM READING MODULES. ⁇,"[[152, 159, 'neu']]","[['modules', 'neu']]"
804,Me learning all of my modules tonight https://t.co/SqjWkJYvDu,"[[22, 29, 'neu']]","[['modules', 'neu']]"
805,It’s 3am and I still need to finish 5 modules https://t.co/Fk5UH1hQql,"[[38, 45, 'neu']]","[['modules', 'neu']]"
806,I didn't update anything all day but the progress of my modules HAHAHAHAHAHA,"[[56, 63, 'neu']]","[['modules', 'neu']]"
807,Why don't others accept late modules? then if you pass on time then something missing will be returned. What is it really?,"[[29, 36, 'neu']]","[['modules', 'neu']]"
808,Thank you lord I was able to lift almost 100 pieces of packaged modules,"[[64, 71, 'neu']]","[['modules', 'neu']]"
809,Back to my modules https://t.co/NXUkMdFjsC,"[[11, 18, 'neu']]","[['modules', 'neu']]"
810,Jusko stress me with the modules of my nephews 😂🙄,"[[25, 32, 'neg']]","[['modules', 'neg']]"
811,"Promise, I enjoy this. 🤣 Fulfillment is different when I highlight something. Hahahahahaha! Trivia: When there is color, it means I have printed the modules and they are in designated envelopes. HAHAHAHA. https://t.co/aZbI9PBJNE","[[150, 157, 'neu']]","[['odules', 'neu']]"
812,"All modules are labeled with name, subject, quarter, and module number. It is stressful to assist many teenagers. I can't afford to go crazy thinking which module is needed. 🤣🤣🤣 https://t.co/JrzqMIMp1t","[[4, 11, 'neu'], [156, 162, 'neu']]","[['modules', 'neu'], ['module', 'neu']]"
813,Nyawit ang galing makipag landian pero sa modules sa math di maka lapit sa nilalandi HAHAHAHAHAHAHAHAHAHAHAHA,"[[42, 49, 'neg']]","[['modules', 'neg']]"
814,"They should also think of the teachers who are losing time with their families just to do the modules or etc. for other children. They should also think about the tiredness of the teachers who make modules if the students are having difficulty and are tired, what about the teachers?","[[30, 38, 'pos'], [180, 188, 'pos']]","[['teachers', 'pos'], ['teachers', 'pos']]"
815,I don't know how I'm going to make modules full of gossip and gossip in the other room 🤦‍♂ pure male card amp,"[[35, 42, 'neu']]","[['modules', 'neu']]"
816,"O children, calm down. I know them all as well as the title of KDrama. I will take care of your modules. 😌🤭😂 #onlineclass https://t.co/TY192tiT30","[[96, 103, 'neu']]","[['modules', 'neu']]"
817,Erggg motivation to make modules! Bukas na kasi pasahan eh huhuhuhu,"[[25, 32, 'neu']]","[['modules', 'neu']]"
818,@putcnginas thats three modules in just a week wtf,"[[24, 31, 'neu']]","[['modules', 'neu']]"
819,"Again, it is forbidden to complain. How are you ... are you perfect? Or chest pain that many are not happy with the modules?","[[116, 123, 'neg']]","[['modules', 'neg']]"
820,@pinkmilklover Yes hahaha just have to finish some modules before I sleep,"[[51, 58, 'neu']]","[['modules', 'neu']]"
821,"@Pyongfiang who said? I just read modules, gurl. Tas fitted pencil can be inserted into the reaction paper. HAHAHAHHAHA","[[34, 41, 'neu']]","[['modules', 'neu']]"
822,The fulfillment is different when you finish your modules.,"[[50, 57, 'neu']]","[['modules', 'neu']]"
823,"That is far from ""teacher shaming""! Yeah, I agree that nobody is perfect, but those mistakes are unbelievable. If the modules are only the work of one or two ""expert"" teachers, the mistakes maybe forgiven ... But no, the development process is a collaborative effort. Yun!","[[221, 232, 'pos']]","[['development', 'pos']]"
824,"Post after post of errors in the modules, but you can see nothing corrected in the answer in the module. I tend to expose the mistakes in the modules, if it's a real concern, direct the report to the education sector, not to fb, which is still woke up and fame!","[[33, 40, 'neg'], [142, 149, 'neg']]","[['modules', 'neg'], ['modules', 'neg']]"
825,"What a productive day 🤪. 3 modules, done! ⁇","[[28, 35, 'neu']]","[['odules,', 'neu']]"
826,"2 Unsolicited comments from a co-teacher who isn't even close to me: ""Mam, you're beautiful maybe if you're thin and tall, you'll lose weight"" ""Inner me: Mom, stay away so you can be my stapler instead of the Modules 🙄","[[209, 216, 'neg']]","[['modules', 'neg']]"
827,@angelykagreyz Nakakadami nang natatapos na modules kasi hahahahaha 😂 ses naman eh,"[[44, 51, 'neu']]","[['modules', 'neu']]"
828,to all my friends that are taking online classes plss be strong. RIP to those who commit suicide because of the modules.😔,"[[41, 48, 'neu']]","[['classes', 'neu']]"
829,"Grabi almost everyday 2 hrs of 2hrs more when he has no magets in the modules. :/ week 1 cross. 😭 We're not done yet, and a nephew of mine is also waiting for us to finish. He has 3 more subjects. 😭 It's tiring, I just don't want to give them an answer. #Module https://t.co/rLHJO68S1b","[[70, 77, 'neg']]","[['modules', 'neg']]"
830,Tired of reading modules I miss wattpad 🥺,"[[17, 24, 'neg']]","[['modules', 'neg']]"
831,@gellyybeansss over modules na aq muna. I hope you are happy that someone has chosen you. Char HAHAHABAHABAHAHA,"[[20, 27, 'neu']]","[['modules', 'neu']]"
832,"rizal and great books mejo easy lang sa pag bigay ng modules, Easy nga lang din kami ih HAHAHA","[[53, 60, 'neu']]","[['modules', 'neu']]"
833,"My nieces keep barging to my room asking, 'How do you do this, Tita?' but I end up doing their modules. ⁇","[[95, 102, 'neu']]","[['modules', 'neu']]"
834,"My nephew is teaching his modules, what else can he do. Ee naputol ung vc namin hahaha #ModulePH https://t.co/KCGs1apjCT","[[26, 33, 'neu']]","[['modules', 'neu']]"
835,lakas maka-productive pag naka-uniform ????? wow I have the modules until next week I will finish today,"[[60, 67, 'neu']]","[['modules', 'neu']]"
836,@teshooooooort Taragis yan. Hopefully if you have modules here. Hahaha.,"[[50, 57, 'neu']]","[['modules', 'neu']]"
837,"I'm disgusted with the modules that aren't in order, the others are double 😭😭😭😭😭😭😭😭😭😭😭😭😭","[[23, 30, 'neg']]","[['modules', 'neg']]"
838,I just wish that my nephews would learn from the ool classes and modules,"[[53, 60, 'neu'], [65, 72, 'neu']]","[['classes', 'neu'], ['modules', 'neu']]"
839,You only remember me when you have difficulty with your modules. 💔😊,"[[56, 63, 'neg']]","[['modules', 'neg']]"
840,Tamag turo Lang Ng modules Ng mga batuta 😂,"[[19, 26, 'neu']]","[['modules', 'neu']]"
841,I'm so tired of the modules and activities to🥺,"[[20, 27, 'pos'], [32, 42, 'pos']]","[['modules', 'pos'], ['activities', 'pos']]"
842,shems I'm more thinking about the comeback of sb19 later than my modules HAHAHAHAHAHA,"[[65, 72, 'neu']]","[['modules', 'neu']]"
843,"""How many more students will commit suicide, because of those modules."" Another drunken year is sad and scary 😔 Rest in Peace to the lost people 🙏😇💙.","[[62, 69, 'neg']]","[['modules', 'neg']]"
844,@KM_Jessica_Soho Didn't the teacher even think of putting the modules in plastic so they can't be read ?! Obviously #staged embarrassing.,"[[62, 69, 'neu']]","[['modules', 'neu']]"
845,I also stayed up for modules but I'm not that fresh 😭,"[[21, 28, 'neu']]","[['modules', 'neu']]"
846,Tangina of DepEd modules. Playtime ampota.,"[[17, 24, 'neg']]","[['modules', 'neg']]"
847,"Tang ina, I'm even more awake with my niece's modules rather than my assignments but it's okay that I enjoy it 😄🥱😴","[[46, 54, 'neu'], [69, 80, 'neu']]","[['modules', 'neu'], ['assignments', 'neu']]"
848,Tangina ko tapos na tirahin yung modules bwesit na yan ito ata ikakamatay ko e,"[[33, 40, 'neg']]","[['modules', 'neg']]"
849,"to be honest, 1 week is not enough to answer the all modules.","[[53, 60, 'neu']]","[['modules', 'neu']]"
850,"how i wish i was at home helping my siblings in their modules, i wanna go home 😊 whatever on this #AcademicFreezeNOW, basta aral ng maayos 😊 nothing was impossible.","[[54, 61, 'neu']]","[['modules', 'neu']]"
851,@10samfcr I don't feel like it. HAHAHHA you just made my modules? 😁 https://t.co/dg5gKeAl8w,"[[57, 64, 'neu']]","[['modules', 'neu']]"
852,"I always think that you are great, it's just modules, the modules are also a big help to be able to move on hahahahaha","[[58, 65, 'pos']]","[['modules', 'pos']]"
853,I need the urge to make modules.,"[[24, 31, 'neg']]","[['modules', 'neg']]"
854,okay just knock instead of running out of time kakascroll .... ay shet yung modules ko pala🙂🙂,"[[76, 83, 'neu']]","[['modules', 'neu']]"
855,"5 consecutive days without sleep due to modules, ays yan","[[40, 47, 'neg']]","[['modules', 'neg']]"
856,I'm proud of my self. I finished the 2 modules of 2 subjects in just one day. 🤣 I work hard all of a sudden. ⁇,"[[39, 46, 'neu']]","[['modules', 'neu']]"
857,Take a break from the modules for this week. something also ended at last,"[[22, 29, 'neu']]","[['modules', 'neu']]"
858,"Hey! @DepEd_PH damn you fix your jobs ha! I thought you were ready? Why are your modules so wrong. Instead of the children becoming smart, they become even more stupid because of your stupidity. If you do not provide correct info to the children, you will resign.","[[81, 88, 'neg'], [114, 122, 'neg']]","[['modules', 'neg'], ['children', 'neg']]"
859,"I'm really on the fence with these posts about mistakes in modules. My mother is a teacher, and I know how she labors long hours just to provide these modules to her students asap, and there are times where there can be unintentional mistakes in her output.","[[59, 66, 'neg']]","[['modules', 'neg']]"
860,"After my online class, I need to focus on my two nephews in their modules. It's very difficult like this","[[66, 73, 'neg']]","[['modules', 'neg']]"
861,I'm not smart but in the past I was still thinking if I would offer help in accomplishing the modules hehehe,"[[94, 101, 'neu']]","[['modules', 'neu']]"
862,@supdoi YUNG MAY BUMABANAT SAYO PERO SERYOSO KA NA LYF DAHIL SA MODULES HAHAHAHAHAHAHAHAHA,"[[64, 71, 'neu']]","[['modules', 'neu']]"
863,I don't want to make modules !!!,"[[21, 28, 'neg']]","[['modules', 'neg']]"
864,"I still can't take a break after class, I'll finish my modules😩","[[33, 38, 'neg'], [55, 62, 'neu']]","[['class', 'neg'], ['modules', 'neu']]"
865,My OC-ness is a big help in organizing the modules. The other parents are wondering which module to use for the day. ⁇,"[[43, 50, 'neu']]","[['modules', 'neu']]"
866,in a relationship with modules,"[[23, 30, 'neu']]","[['modules', 'neu']]"
867,"Haaaaaay what time did I suddenly crave wintermelon with double pearl, spateti, fries, burger ☹️ bwisit na modules to ayoko na !!!!!! ⁇","[[107, 114, 'neg']]","[['modules', 'neg']]"
868,"I want to be a Flight attendant, I also fly modules. 🤷🏼‍♂️","[[44, 51, 'neu']]","[['modules', 'neu']]"
869,franz start doing your modules challenge UGH,"[[23, 30, 'neu']]","[['modules', 'neu']]"
870,I'm the one who learns the modules more than my cousin 🤦🏻,"[[27, 34, 'neu']]","[['modules', 'neu']]"
871,Diko alam pero yung answer key lang ng pr1 post test at pre test tas sa mga conduction achuchu alam ko tangina bat ganto utak ko ambilis makaintindi last 3 modules nalang sabay compile nalang ko kailangan wala na akong stress👉👈,"[[156, 163, 'neu']]","[['modules', 'neu']]"
872,@shrnrshdq Bawal na tayo mag cutting tambak yata sa modules si @neilbasas_: ((((hahahahaha,"[[52, 59, 'neu']]","[['modules', 'neu']]"
873,Everyday new modules bes? Huhu,"[[13, 20, 'neu']]","[['modules', 'neu']]"
874,4 modules in one day just to catch up 😭 Awit naman lods: & gt;,"[[2, 9, 'neu']]","[['modules', 'neu']]"
875,"I'm drowning in the number of modules that need to be passed after the prelim week and the prime day. okay, I can do it but can I do it one by one?","[[30, 37, 'neg']]","[['modules', 'neg']]"
876,You hypocrites! You don't want to take an online class because they say there is no phone or net at home so modules were chosen but they are not the ones answering ??? Meganon ???,"[[49, 54, 'neg'], [84, 89, 'neg'], [108, 115, 'neg']]","[['class', 'neg'], ['phone', 'neg'], ['modules', 'neg']]"
877,"Hey! I really hate the idea of ​​giving modules to the students, they are not the ones who answer those, if only a few are asked (I don't include all of them) So where's the learning? So is it okay for students to pass even if nothing is learned? ⁇","[[40, 47, 'neg']]","[['modules', 'neg']]"
878,Let's go to the modules general huee #JAIRUSBackOnKapChat,"[[16, 23, 'neu']]","[['modules', 'neu']]"
879,"I'm really lucky with my friends, even though they help me with my modules! 🙏🥰","[[67, 74, 'neu']]","[['modules', 'neu']]"
880,Ate has been slain in the modules! Hahaha,"[[26, 33, 'neu']]","[['modules', 'neu']]"
881,1; 59 Am. I just finished math modules 😴👍 I'm okay. ⁇,"[[31, 38, 'neu']]","[['modules', 'neu']]"
882,Goodnight early nails tomorrow to answer modules HAHAHAHASH,"[[41, 48, 'neu']]","[['modules', 'neu']]"
883,"back to grade school in my brother's modules and hw, I haven't been able to study anymore","[[37, 44, 'neu'], [76, 81, 'neg']]","[['modules', 'neu'], ['study', 'neg']]"
884,"Just the right help with brother's answering modules HAHAHA literally ""brother's duty"" 🤪","[[45, 52, 'neu']]","[['modules', 'neu']]"
885,"y'all be cryin on ya modules and shit but wait till everyday becomes a lesson once you graduate, kids.","[[21, 28, 'neu']]","[['modules', 'neu']]"
886,"TyL, also worked on modules 😌","[[20, 27, 'neu']]","[['modules', 'neu']]"
887,Apparently the prof nor department of Thermodynamics of our course has no modules or anything for the correspondence ... Basically we're bound for nothing,"[[74, 81, 'neg']]","[['modules', 'neg']]"
888,behind the modules lie the unlimited freedom to give students loads of work jusq,"[[53, 61, 'neg']]","[['students', 'neg']]"
889,look who's finishing her sib's modules before prioritizing sleep haAay the struggle of being a responsible Ate hahshs 😅,"[[31, 38, 'neu']]","[['modules', 'neu']]"
890,Please address the struggles of the teachers in reaching their students to distribute the modules in far places.,"[[36, 44, 'neg']]","[['teachers', 'neg']]"
891,"cute ni utoy kase start na ng modules nila, and nakita ko sa picture nagsusulat sya ng ginawa nya tagalog na kwento tungkol sa mga alaga nya pusa HAHAHAHAHAHAHHA 🥺☺️","[[30, 37, 'neu']]","[['modules', 'neu']]"
892,"after doing nails and modules, of course you won't miss watching the movie hahahaha","[[22, 29, 'neu']]","[['modules', 'neu']]"
893,nephew modules I do instead of modules q ampota,"[[31, 38, 'neu'], [7, 14, 'neu']]","[['modules', 'neu'], ['modules', 'neu']]"
894,That's why the Hashtag is so hot -headed to tear up the modules on facebook. Fools! DepEd is the one to tear.,"[[56, 63, 'neu']]","[['modules', 'neu']]"
895,My sister is only at school from Mon to Fri. They are very tired of the Modules so answer them and be careful.,"[[72, 79, 'neg']]","[['modules', 'neg']]"
896,1 week “health break” but suddenly discussed 5 modules in one session 🤡🤡🤡,"[[15, 20, 'neu'], [47, 54, 'neu']]","[['break', 'neu'], ['modules', 'neu']]"
897,aus talaga ng modules ko huh walang connect sa hand outs 🤪,"[[14, 21, 'neu']]","[['modules', 'neu']]"
898,why naman ganon ?? I already made a google drive for modules but they still ask me if I can request a file like that 🥺🥺☹️☹️,"[[53, 60, 'neu']]","[['modules', 'neu']]"
899,2hrs past midnight into my canvas modules I have found myself on reddit,"[[34, 41, 'neu']]","[['modules', 'neu']]"
900,You will get the colorful modules if a photocopy is provided. 😂,"[[26, 33, 'pos']]","[['modules', 'pos']]"
901,I don't know how I can better understand my modules: ((,"[[44, 51, 'neg']]","[['modules', 'neg']]"
902,"Jusporsanto 😩 I'm studying modules today, my son has a headache now MATH is the name being discussed! Help us Lord, Tom has started the online school 🙏🙏🙏","[[144, 150, 'neu'], [28, 35, 'neu']]","[['chool', 'neu'], ['odules', 'neu']]"
903,Nobody asked but i just got crowns 14 and 15 in fall guys thank you very much i will attempt my modules again now bye,"[[96, 103, 'neu']]","[['modules', 'neu']]"
904,"Heart and I said we're going to make modules, are we going to have sex? 😂","[[37, 44, 'neu']]","[['modules', 'neu']]"
905,Me buklating modules for 5 secs.,"[[13, 20, 'neu']]","[['modules', 'neu']]"
906,I was one of the awardees in the LCD Champion Module Production in Gawad Primera of DEPED. I wrote several modules in Bread and Pastry Production. https://t.co/mHO8HYqN5u,"[[46, 52, 'neu'], [107, 114, 'neu']]","[['module', 'neu'], ['modules', 'neu']]"
907,san na kaya modules namin 🙃,"[[12, 19, 'neu']]","[['modules', 'neu']]"
908,I told you babe @JapsMendoza don't answer my modules https://t.co/Y6tvFVuVBm,"[[45, 52, 'neu']]","[['modules', 'neu']]"
909,Patulog tulog ka gurl haa tayo jan mag aanswer na tayo ng modules natin! https://t.co/XIBgnfb0rl,"[[58, 65, 'neu']]","[['modules', 'neu']]"
910,tanginA kase ni winnie! tamang chika kanina amputa!! I can't make modules,"[[66, 73, 'neu']]","[['modules', 'neu']]"
911,It's funny that my brother's class adviser binlocked me just because I called out the school process for distributing the modules that will be used at the class opening on Monday 🙄🙄🙄,"[[122, 129, 'neg']]","[['modules', 'neg']]"
912,"ONE NEWS NOW with @jovefrancisco | OCTOBER 2, 2020 • Distribution of printed modules still ongoing days before opening of classes • Senators ask DOTr to lower prices of beep cards WATCH https://t.co/JimAla5gKe","[[77, 84, 'neu']]","[['modules', 'neu']]"
913,just two modules bhie,"[[9, 16, 'neu']]","[['modules', 'neu']]"
914,LOOK | Taguig LGU has launched its Tele-Aral program where students or parents can call for help if there are questions about their modules or lessons. @News5PH @onenewsph https://t.co/1WxDFRRs0Z,"[[132, 139, 'pos'], [142, 150, 'pos']]","[['modules', 'pos'], ['lessons', 'pos']]"
915,Only Blacpink can finish my modules HAHAHA ✌,"[[28, 35, 'neu']]","[['modules', 'neu']]"
916,"I can't sleep anymore, I'll just answer modules kooo.","[[40, 47, 'neu']]","[['modules', 'neu']]"
917,I was seen again by my teachers in grade 5 because I distributed modules and learning kits earlier when I was contracted to teach at Isabelo 🥺 HAHAHHAHAHAHAHAH,"[[65, 72, 'neu'], [77, 85, 'neu']]","[['modules', 'neu'], ['learning', 'neu']]"
918,boring I want to rip modules,"[[21, 28, 'neg']]","[['modules', 'neg']]"
919,"Lala Move Human Edition. 🤣 Learning Modules Delivery DONE.! 😍 #DepEdPhilippines #ParaSaBata #ParaSaBayan #GurongCalabazon @ Baras, Rizal https://t.co/VTwtka5rzU","[[37, 44, 'neu']]","[['odules', 'neu']]"
920,"My professor at BioChem just dropped the modules and then suddenly dropped the quiz. There is no word on what pointers. Good morning too, Ma'am. I hope your dish is delicious. LOL","[[41, 48, 'neg'], [79, 83, 'neg']]","[['modules', 'neg'], ['quiz', 'neg']]"
921,if I really reply crush I will try to make modules 🤣,"[[43, 50, 'neu']]","[['modules', 'neu']]"
922,Sorting of Modules. 🙂 @ Palanan Elementary School Makati City https://t.co/wiHkpzNJng,"[[11, 18, 'neu']]","[['modules', 'neu']]"
923,mama's guard closed me to answer my modules because he knew I was lazy and I was about to be beaten haha,"[[36, 43, 'neu']]","[['modules', 'neu']]"
924,We will also finish with the sorting of modules and what what other preparations for the opening of the class Ma'am and Sir. Lavarn for kids! ⁇,"[[40, 47, 'neu']]","[['modules', 'neu']]"
925,it's okay if you sleep. hindi naman nakakapag tampo kasi dalawang naman kami ... ako at mga modules mo hahahhaahhahahaa,"[[92, 99, 'neu']]","[['modules', 'neu']]"
926,"I was not stressed when checking the modules with the students, I was stressed over and over again by the announcements and I kept answering them because I was just repeating the question ☹️🤦‍♂","[[37, 44, 'pos'], [106, 119, 'neg']]","[['modules', 'pos'], ['announcements', 'neg']]"
927,"@atthawhipped good luck, bhie. Hahaha I know feeling that pile modules. huhuhu","[[63, 70, 'neg']]","[['modules', 'neg']]"
928,"@yep4jumpol sobra, dagdag mo pa yung tambak na modules na self study at mga essays. AHAHA","[[47, 54, 'neg']]","[['modules', 'neg']]"
929,"If you need help with your modules, just come to me. I'm willing to help you tear that up.","[[27, 34, 'neu']]","[['modules', 'neu']]"
930,"@_mmmcrzt 43 modules and Pre test include Periodical times 8 times weekly set. Marj, I need an assistant to staple and check too. Shems Hahahahahahahahaha! 😂","[[13, 20, 'neu']]","[['modules', 'neu']]"
931,"This is not good ,, im reading d modules pero di talaga effective😣 sumasabay yung antok at katamaran paksheyt","[[33, 40, 'neg']]","[['modules', 'neg']]"
932,me after accomplishing my modules,"[[26, 33, 'neu']]","[['modules', 'neu']]"
933,"So just ask the people in charge, fix your work as well, ‘don’t steal what the young people are suffering from today. Stress on modules and tasks, you're done with the government, just ""enjoy life""?","[[128, 135, 'neg']]","[['modules', 'neg']]"
934,"It is true that the youth are the hope of the people, hope not for tomorrow but today! Young people struggle to understand the modules and do the tasks, ultimately for the town.","[[127, 134, 'neg']]","[['modules', 'neg']]"
